region,gender,age,education,race,uscitizen,maritalstatus,religion,religionattend,partyid,income,politics,hhsize,employstatus,extraversion,pextraversion,agreeableness,pagreeableness,conscientiousness,pconscientiousness,openness,popenness,neuroticism,pneuroticism,needforcognition,pneedforcognition,agency,pagency,communion,pcommunion,minimalism,pminimalism,bes,pbes,green,pgreen,crt2,pcrt2,fluid,pfluid,crystallized,pcrystallized,syllogism,psyllogism,actual,pactual,overconfidence,poverconfidence,overplacement,poverplacement,ultimatum_sender,pultimatum_sender,ultimatum_accepted,pultimatum_accepted,mentalaccounting,pmentalaccounting,socialdesirability,psocialdesirability,conscientiousness_w2,pconscientiousness_w2,anxiety,panxiety,hi,phi,hc,phc,vi,pvi,vc,pvc,finliteracy,pfinliteracy,numeracy,pnumeracy,deductive,pdeductive,forwardflow,pforwardflow,discount,pdiscount,presentbias,ppresentbias,riskaversion,priskaversion,lossaversion,plossaversion,trustgame_sender,ptrustgame_sender,trustgame_receiver,ptrustgame_receiver,rfs,prfs,sttw,psttw,depression,pdepression,cnfu,pcnfu,selfmonitor,pselfmonitor,scc,pscc,needforclosure,pneedforclosure,maximization,pmaximization,wason,pwason,dictator_sender,pdictator_sender
South,Male,18-29,College graduate/some postgrad,Black,Yes,Never been married,Agnostic,Never,Democrat,"Less than $30,000",Liberal,1,Self-employed,2.375,33,3.444,27,4.556,77,4.5,87,4.125,91,3.944,74,3.25,8,6.833,45,3.083,33,4.7,95,4.333,81,3,88,2,71,6,49,10,92,21,80,9,31,13,94,60,93,83.333,70,75,70,9,81,8,100,13,73,4.75,82,3,14,1.25,6,3.25,29,6,91,6,61,4,100,0.859,84,0,40,0,52,0.456,88,0.39,12,40,61,55,89,5,60,8,18,3,27,2.75,64,2.769,52,4.5,79,3.867,71,2.5,18,3,96,60,97
West,Male,30-49,"Some college, no degree",White,Yes,Married,Nothing in particular,Never,Independent,"$50,000-$75,000",Moderate,More than 4,Full-time employment,3.75,83,3.889,49,4.111,58,4.5,87,2.625,51,3.833,69,5.5,70,6.167,24,3.5,52,3.75,41,4,68,3,88,0,26,5,37,5,32,13,29,12,50,-5,21,40,65,66.667,33,50,32,2,23,8,100,10,64,5,100,4.25,72,3.5,81,4.25,74,5,57,7,80,4,100,0.775,16,24213.383,86,-0.013,17,-0.011,27,None,None,0,13,33,29,5.4,81,11,48,5,38,2.5,54,3.154,82,3.333,40,3.533,50,3,45,4,100,40,81
West,Male,50-64,High school graduate,White,Yes,Married,Protestant,A few times a year,Democrat,"$50,000-$75,000",Conservative,4,Full-time employment,3.25,67,4.444,78,4.889,92,3.6,41,1.5,15,4,77,4.583,44,8.083,86,3.333,45,4.35,78,2.833,26,1,38,2,71,5,37,4,11,12,23,-2,5,-25,1,40,65,100,100,75,70,8,74,7,53,6,47,3.75,25,3.75,45,3,65,4.5,84,2,5,6,61,2,6,0.803,32,4717.879,80,0.149,88,0.611,100,None,None,40,61,47,70,6,96,16,75,2,21,1.833,28,2.231,14,4.333,72,3.2,30,3.167,55,2,65,40,81
South,Male,18-29,High school graduate,Hispanic,Yes,Living with a partner,Agnostic,Never,Democrat,"$100,000 or more",Liberal,More than 4,Full-time employment,2.75,47,3.222,18,3.889,47,3.7,46,2.25,37,2.333,12,5,57,6.25,26,3.917,72,2.85,5,3.667,52,2,59,3,88,4,27,7,61,16,49,-6,2,-5,21,100,100,100,100,75,70,9,81,5,26,19,84,5,100,2,2,1,3,1.25,1,7,100,7,80,2,6,0.885,96,0,40,0,52,-0.178,10,None,None,100,100,29,19,4.3,19,13,62,29,93,1.583,20,2.615,39,3.833,55,2.467,7,3.333,64,2,65,40,81
South,Male,65+,"Some college, no degree",White,Yes,Married,Protestant,A few times a year,Republican,"$50,000-$75,000",Very conservative,2,Retired,2.625,42,4.556,84,4.333,67,4,64,1.75,21,3.333,46,5.583,71,6.417,31,4,77,3.25,15,2.5,20,0,12,0,26,8,82,4,11,12,23,13,56,-5,21,20,10,50,10,50,32,11,93,8,100,3,32,4,40,4.5,83,2.75,55,4.75,93,5,57,4,33,4,100,0.782,20,2.197,46,0.025,60,0.117,56,None,None,20,25,39,40,4.7,41,11,48,9,54,1.25,11,2.538,33,4.5,79,4,79,4.5,99,2,65,40,81
West,Female,18-29,College graduate/some postgrad,Black,Yes,Living with a partner,Nothing in particular,A few times a year,Independent,"$30,000-$50,000",Very liberal,2,Part-time employment,2.375,33,3.889,49,3.444,28,3.8,53,3.875,86,3.5,53,5.167,61,6.667,39,2.583,16,3.6,32,4.167,74,1,38,1,55,4,27,7,61,13,29,14,62,4,60,60,93,100,100,75,70,0,13,7,53,11,67,4,40,4.25,72,3.5,81,1.5,2,3,15,5,47,4,100,0.814,42,None,None,None,None,None,None,None,None,40,61,42,46,4.8,47,18,86,12,64,2.417,50,2.692,46,2,7,3.133,26,3.5,73,2,65,40,81
West,Male,50-64,Postgraduate,Other,Yes,Married,Agnostic,Never,Democrat,"$100,000 or more",Moderate,3,Full-time employment,2.75,47,4.778,92,3.667,37,4.8,97,2.5,47,4.444,90,5.833,76,8.25,90,3.583,56,4,58,4.167,74,1,38,3,88,9,100,10,92,23,90,15,67,8,83,60,93,66.667,33,75,70,10,88,4,19,3,32,4.5,67,4.25,72,3,65,4.5,84,6,91,7,80,4,100,0.888,97,0,40,0,52,0.267,77,0.557,25,60,77,57,91,5.5,84,11,48,2,21,2.75,64,2.462,27,3.667,50,3.4,42,3.5,73,3,96,60,97
West,Male,18-29,High school graduate,Hispanic,Yes,Never been married,Roman Catholic,A few times a year,Democrat,"$30,000-$50,000",Liberal,3,Full-time employment,2.125,26,3.778,44,4.556,77,2.3,4,2.75,56,3.333,46,4.5,42,6.833,45,3.917,72,3.7,38,3.667,52,1,38,0,26,9,100,11,100,21,80,9,31,-5,21,60,93,66.667,33,50,32,11,93,8,100,1,19,4.75,82,4.5,83,3.75,88,4.5,84,6,91,8,100,4,100,0.769,14,0,40,0,52,0.244,74,None,None,60,77,45,66,4.3,19,10,39,7,45,1.167,8,3.077,76,2.667,22,3.333,37,4,92,4,100,40,81
Northeast,Male,65+,Postgraduate,White,Yes,Married,Jewish,Never,Democrat,"$100,000 or more",Liberal,2,Retired,3.375,71,3.889,49,4.778,87,3.4,31,1.75,21,3.722,64,5.667,73,7.417,65,3.25,41,3.35,19,3.833,59,3,88,4,100,6,49,10,92,23,90,11,43,8,83,20,10,100,100,50,32,3,31,8,100,0,12,3.5,17,4.5,83,2.5,45,2.5,11,7,100,8,100,4,100,0.78,19,0,40,0,52,0.05,43,None,None,100,100,45,66,4.9,53,10,39,0,9,2,33,2.692,46,4.333,72,3.4,42,2.5,18,3,96,20,18
Northeast,Female,65+,Postgraduate,White,Yes,Widowed,Roman Catholic,Once a week,Republican,"$50,000-$75,000",Conservative,3,Full-time employment,3.25,67,3.333,22,4.556,77,4.5,87,4.125,91,4.556,93,3.5,13,7.917,82,2.75,21,4.55,88,4.5,86,4,100,3,88,9,100,8,71,24,94,1,8,-6,13,60,93,100,100,75,70,7,66,8,100,10,64,4.5,67,4.5,83,3,65,4.5,84,4,31,6,61,4,100,0.864,87,0,40,0,52,0.228,71,0.755,38,100,100,55,89,5.1,65,10,39,9,54,1.583,20,2.154,10,3,31,4,79,2.333,12,2,65,40,81
South,Female,18-29,"Some college, no degree",Hispanic,Yes,Never been married,Other,Once a week,Democrat,"$50,000-$75,000",Liberal,3,Full-time employment,3,57,2.889,9,3.667,37,3.6,41,3.75,83,3.778,66,5.917,77,8.583,95,4.75,97,4.8,97,4.5,86,2,59,1,55,4,27,5,32,12,23,8,27,0,41,100,100,33.333,4,75,70,10,88,5,26,10,64,5,100,4.5,83,2.5,45,4,64,6,91,2,11,4,100,0.843,71,1501199876840103.75,97,-0.067,8,0.028,39,None,None,100,100,100,100,6,96,8,18,21,84,2.5,54,3.692,99,2.333,14,4.533,96,4.667,99,2,65,100,100
Northeast,Male,30-49,Postgraduate,White,Yes,Married,Protestant,Once a week,Republican,"$100,000 or more",Conservative,3,Full-time employment,2.875,52,3.889,49,3.667,37,3.2,22,2.875,60,3.222,41,8,97,7.667,74,3.75,64,3.35,19,4.667,90,1,38,0,26,1,4,8,71,10,12,25,97,3,55,40,65,100,100,25,9,4,39,7,53,27,93,4.25,52,4.5,83,4.25,97,4.25,74,5,57,6,61,4,100,0.832,60,-0.957,1,0.05,68,0.611,100,None,None,40,61,30,20,5.3,76,16,75,1,15,3.75,92,3.462,96,2.333,14,4.067,82,4,92,1,7,40,81
West,Female,30-49,Postgraduate,Hispanic,Yes,Never been married,Roman Catholic,Seldom,Democrat,"$30,000-$50,000",Very liberal,4,Unemployed,1.25,5,3.556,32,3.556,32,3.4,31,3.875,86,3.722,64,4.167,32,7.417,65,3.417,48,4.4,80,4.333,81,1,38,1,55,6,49,6,49,14,35,16,73,-4,23,40,65,50,10,75,70,8,74,7,53,9,60,4.25,52,4.25,72,2.75,55,4,64,6,91,4,33,4,100,0.841,69,1050778.732,89,0.008,54,-0.178,10,None,None,60,77,43,48,5.3,76,23,100,29,93,1.583,20,2.615,39,3.417,42,3.933,75,3,45,2,65,40,81
South,Female,65+,College graduate/some postgrad,White,Yes,Divorced,Buddhist,Never,Democrat,"$100,000 or more",Very liberal,1,Full-time employment,4.75,99,4.778,92,5,100,5,100,1,4,4.111,81,3.167,7,7.833,80,4.917,99,3.95,55,5,100,3,88,0,26,8,82,11,100,22,85,8,27,-5,21,40,65,83.333,70,75,70,7,66,8,100,0,12,5,100,5,100,3.25,73,4.25,74,6,91,8,100,4,100,0.827,55,0,40,0,52,0.311,80,None,None,60,77,34,31,5.6,87,11,48,3,27,3.167,78,3,70,5,100,3.2,30,2.833,34,3,96,40,81
West,Male,30-49,"Some college, no degree",Asian,Yes,Never been married,Atheist,Never,Something else,"$50,000-$75,000",Very liberal,4,Unemployed,1.125,3,4,56,3.444,28,2.7,8,1.625,18,3.5,53,4.833,52,6.75,41,3.667,60,4.65,92,4.667,90,4,100,3,88,7,64,8,71,22,85,-2,5,0,41,60,93,66.667,33,50,32,8,74,7,53,0,12,5,100,3.75,45,2,25,2.25,7,6,91,8,100,4,100,0.837,65,0,40,0,52,0,36,0.888,55,100,100,43,48,3.8,5,7,10,1,15,1.25,11,2.846,58,4.667,86,3.867,71,3.667,81,4,100,60,97
West,Male,50-64,Associate's degree,Hispanic,No,Married,Roman Catholic,More than once a week,Republican,"$75,000-$100,000",Conservative,3,Full-time employment,3.625,79,4,56,3.889,47,3.7,46,2,29,2.944,27,5,57,8,85,3,30,3.15,12,4,68,2,59,0,26,4,27,6,49,12,23,21,91,8,83,40,65,66.667,33,50,32,11,93,8,100,21,87,3,7,5,100,1.5,11,5,100,4,31,5,47,4,100,0.641,1,10.156,55,0.407,99,0.244,74,None,None,40,61,45,66,4.2,15,9,29,4,32,3,72,1.846,3,3.833,55,3,21,3.167,55,3,96,40,81
West,Male,50-64,Postgraduate,White,Yes,Married,Protestant,Seldom,Independent,"$100,000 or more",Moderate,4,Retired,3.125,62,3.778,44,4.556,77,3.9,59,2,29,4.889,99,5.091,59,7.083,54,3,30,3.65,35,5,100,1,38,2,71,9,100,11,100,23,90,16,73,14,95,40,65,83.333,70,50,32,7,66,8,100,0,12,4.75,82,4,60,1.25,6,3.25,29,6,91,7,80,4,100,0.739,6,5.05,53,0.027,61,-0.056,21,0.877,48,100,100,43,48,5.9,95,17,80,1,15,1.5,18,2.923,64,4.583,83,2.467,7,3.667,81,3,96,40,81
Northeast,Female,30-49,Postgraduate,White,Yes,Never been married,Nothing in particular,Seldom,Independent,"$100,000 or more",Moderate,1,Full-time employment,3.625,79,4.111,62,2.667,7,3.3,26,3,64,3,30,4.167,32,5.917,18,2.417,12,4.25,73,3.667,52,1,38,1,55,9,100,9,82,20,74,15,67,5,72,60,93,83.333,70,100,100,3,31,5,26,7,52,4.5,67,4,60,3.25,73,3.5,40,5,57,7,80,4,100,0.832,60,0,40,0,52,-0.311,3,None,None,100,100,39,40,5,60,23,100,7,45,1.917,31,3.154,82,3.25,38,3.6,54,2.667,26,2,65,60,97
South,Female,30-49,High school graduate,White,Yes,Living with a partner,Protestant,Seldom,Democrat,"$50,000-$75,000",Moderate,3,Full-time employment,2.5,37,4.556,84,4.222,62,3.4,31,3.375,74,3.722,64,4.083,30,8.583,95,3.167,37,3.8,44,3.333,40,3,88,3,88,7,64,6,49,19,69,16,73,-5,21,60,93,66.667,33,75,70,6,58,7,53,15,77,4,40,4,60,1.25,6,3.75,50,6,91,4,33,4,100,0.791,25,4717.879,80,0.369,98,0.444,88,None,None,40,61,36,35,4.7,41,11,48,28,92,1.333,13,2.385,22,2.417,15,4.4,93,2.5,18,2,65,60,97
Northeast,Male,30-49,College graduate/some postgrad,White,Yes,Married,Roman Catholic,A few times a year,Independent,"$100,000 or more",Moderate,4,Full-time employment,2.5,37,4.222,68,4.333,67,3.7,46,2.5,47,3.5,53,6.5,86,5,5,2.917,26,3.7,38,1.667,7,1,38,1,55,5,37,5,32,12,23,10,38,2,49,40,65,66.667,33,50,32,6,58,8,100,5,42,4,40,3.25,22,3.25,73,4.5,84,4,31,8,100,4,100,0.799,30,0,40,0,52,0.167,64,0.437,16,0,13,0,7,5.6,87,17,80,7,45,2.417,50,2.538,33,3.583,47,4.267,89,3.667,81,2,65,40,81
Midwest,Male,50-64,Associate's degree,White,Yes,Married,Protestant,Seldom,Something else,"$75,000-$100,000",Conservative,2,Part-time employment,2.875,52,2.556,4,4,53,4.9,99,3.75,83,4.833,98,4.5,42,5.583,12,4.5,92,4.4,80,4.667,90,2,59,1,55,7,64,9,82,19,69,15,67,6,76,40,65,83.333,70,100,100,0,13,5,26,13,73,4.75,82,4,60,4,93,3.5,40,5,57,8,100,4,100,0.886,96,1.714,45,0.036,64,-0.044,23,1.796,91,100,100,39,40,4.8,47,10,39,18,79,3.833,94,2.923,64,1.833,4,4,79,3.667,81,2,65,40,81
Midwest,Female,50-64,College graduate/some postgrad,White,Yes,Married,Agnostic,Never,Democrat,"$75,000-$100,000",Very liberal,2,Home-maker,1.5,10,4.444,78,3.778,41,2.2,3,1.5,15,1.444,2,3.167,7,6.917,48,4.417,91,4.4,80,5,100,3,88,3,88,8,82,8,71,22,85,18,82,15,96,40,65,83.333,70,75,70,5,48,8,100,5,42,4.5,67,3.5,32,2,25,4,64,6,91,8,100,4,100,0.857,82,24213.383,86,0.068,73,0,36,2.521,97,60,77,45,66,4.7,41,6,5,16,74,1.25,11,1.923,4,3.5,45,3.933,75,3.833,87,3,96,40,81
West,Female,30-49,College graduate/some postgrad,Asian,Yes,Never been married,Agnostic,Never,Democrat,"$75,000-$100,000",Very liberal,1,Full-time employment,3.125,62,2.889,9,3.889,47,3.7,46,3.125,68,3.111,35,5.25,62,7.083,54,3.167,37,4,58,4,68,4,100,3,88,7,64,9,82,23,90,13,56,6,76,0,6,83.333,70,75,70,0,13,8,100,2,25,4.5,67,3.5,32,2.5,45,3.5,40,6,91,8,100,4,100,0.812,40,0,40,0,52,-0.1,16,None,None,40,61,23,13,4.4,24,17,80,1,15,3.25,81,2.923,64,4.5,79,4.333,92,2.5,18,3,96,40,81
South,Female,50-64,Associate's degree,Black,Yes,Divorced,Protestant,Once a week,Independent,"$50,000-$75,000",Liberal,3,Full-time employment,4.625,98,4.889,95,4.778,87,4.1,69,1.125,7,3.889,72,5.583,71,7.75,77,5,100,4.8,97,3,31,3,88,1,55,7,64,5,32,16,49,6,19,-13,4,40,65,100,100,75,70,8,74,8,100,4,38,4,40,5,100,2.25,35,2.5,11,5,57,4,33,4,100,0.881,94,6.23,53,0.065,73,0.033,41,None,None,40,61,40,42,5.889,93,15,71,3,27,2.5,54,3.385,93,3.833,55,3.667,59,2.333,12,1,7,40,81
West,Male,18-29,High school graduate,Hispanic,Yes,Never been married,Roman Catholic,A few times a year,Democrat,"$50,000-$75,000",Liberal,More than 4,Full-time employment,1.875,18,3.444,27,3.556,32,3.4,31,3.125,68,2.389,13,5.75,74,7.25,59,3.333,45,3.75,41,3.667,52,2,59,0,26,2,10,7,61,11,17,11,43,4,60,40,65,83.333,70,25,9,12,97,6,36,1,19,4,40,4,60,3,65,4,64,4,31,4,33,4,100,0.815,43,1.381,44,0.045,67,0.461,89,None,None,60,77,42,46,4.6,35,12,57,15,72,3.667,91,2.385,22,2.5,17,4,79,3.5,73,1,7,40,81
Northeast,Male,18-29,High school graduate,Black,Yes,Never been married,Muslim,Once a week,Republican,"$50,000-$75,000",Conservative,3,Part-time employment,3.375,71,3.333,22,3.222,21,3.1,18,2.5,47,3.222,41,7.917,97,8.333,91,3.833,68,2.95,7,4,68,3,88,0,26,0,1,6,49,9,8,11,43,-3,26,40,65,66.667,33,25,9,4,39,5,26,14,75,4.75,82,2.5,5,3.75,88,1.75,3,3,15,8,100,3,15,0.751,9,3002399751775739.5,99,-0.158,2,0.511,91,None,None,20,25,47,70,6.4,99,16,75,12,64,4.333,98,4,100,2.333,14,4.333,92,4.5,99,1,7,0,11
South,Female,30-49,"Some college, no degree",White,Yes,Never been married,Protestant,A few times a year,Democrat,"Less than $30,000",Very liberal,1,Unemployed,1.5,10,4.556,84,3.444,28,4.7,95,4.25,94,4.556,93,3.25,8,7.333,62,2.167,7,4.7,95,4,68,3,88,3,88,9,100,9,82,24,94,11,43,8,83,60,93,83.333,70,50,32,1,18,5,26,27,93,4.5,67,4,60,2.75,55,4,64,5,57,6,61,4,100,0.83,58,485.553,72,0.131,86,0.067,50,None,None,40,61,37,37,5.5,84,11,48,30,94,2.083,38,2.769,52,1.833,4,4.067,82,2.833,34,2,65,40,81
West,Male,50-64,Associate's degree,White,Yes,Never been married,Agnostic,Never,Republican,"$30,000-$50,000",Very conservative,1,Retired,1.125,3,2.333,3,4.444,72,2.3,4,1.75,21,3.278,43,2.417,1,4.25,2,5,100,2.85,5,2.667,22,1,38,4,100,9,100,9,82,23,90,12,50,10,90,0,6,83.333,70,50,32,1,18,8,100,0,12,5,100,1.25,0,1.75,17,3.5,40,6,91,8,100,4,100,0.85,76,0,40,0,52,0,36,1.093,75,0,13,52,77,4.6,35,8,18,1,15,3.583,89,2.077,8,4.417,76,3.8,67,4,92,3,96,0,11
West,Female,18-29,"Some college, no degree",White,Yes,Married,Agnostic,Never,Independent,"$50,000-$75,000",Very liberal,2,Self-employed,1.625,12,2.889,9,4.556,77,4.4,83,4.25,94,4.444,90,4.25,34,5.25,7,3.083,33,4.45,84,4.333,81,4,100,3,88,8,82,9,82,24,94,14,62,8,83,60,93,66.667,33,75,70,6,58,8,100,18,83,4.75,82,3.75,45,1.5,11,3.5,40,6,91,8,100,4,100,0.825,53,4735.523,81,0.017,58,0.178,66,0.893,55,20,25,32,24,4.5,29,10,39,7,45,2.833,66,3.077,76,3.417,42,4.067,82,3,45,2,65,40,81
South,Male,65+,Postgraduate,Other,Yes,Married,Other,Seldom,Something else,"$100,000 or more",Very liberal,2,Retired,4,90,2.333,3,3.667,37,3.8,53,2.125,32,4.5,92,6.583,87,5.917,18,3.167,37,3.15,12,2.5,20,0,12,3,88,9,100,11,100,23,90,15,67,10,90,60,93,83.333,70,50,32,9,81,6,36,2,25,3.75,25,3.5,32,4,93,3,22,7,100,7,80,4,100,0.852,78,0,40,0,52,0.611,100,0.308,7,0,13,45,66,5.4,81,10,39,7,45,1.333,13,2.154,10,4.417,76,2.267,5,4,92,2,65,0,11
South,Female,30-49,College graduate/some postgrad,Black,Yes,Married,Nothing in particular,Never,Independent,"$100,000 or more",Moderate,4,Full-time employment,1.875,18,3.444,27,4.667,82,4.4,83,1.875,25,3.611,58,5.333,65,7.667,74,2.333,11,4.5,86,3.667,52,3,88,3,88,6,49,5,32,17,56,12,50,6,76,40,65,100,100,50,32,8,74,8,100,2,25,5,100,3.75,45,3.75,88,4,64,5,57,8,100,4,100,0.863,86,4823.011,83,-0.061,8,0.178,66,None,None,60,77,44,50,5.6,87,7,10,22,85,3.917,94,3.231,87,2.833,26,4.733,99,3.167,55,3,96,40,81
